Command,Type,X,Y,Parameters,Raw_Hex
1,LINEAR_MOVE,38400,786,"",0300961203
2,UNKNOWN,0,0,"0",00
3,UNKNOWN,0,0,"151",97
4,UNKNOWN,0,0,"18",12
5,LINEAR_MOVE,38656,786,"",0300971203
6,UNKNOWN,0,0,"0",00
7,UNKNOWN,0,0,"150",96
8,UNKNOWN,0,0,"18",12
9,LINEAR_MOVE,38656,786,"",0300971203
10,UNKNOWN,0,0,"0",00
11,UNKNOWN,0,0,"151",97
12,UNKNOWN,0,0,"19",13
13,LINEAR_MOVE,38656,786,"",0300971203
14,UNKNOWN,0,0,"0",00
15,UNKNOWN,0,0,"150",96
16,UNKNOWN,0,0,"18",12
17,LINEAR_MOVE,38656,786,"",0300971203
18,UNKNOWN,0,0,"0",00
19,UNKNOWN,0,0,"151",97
20,UNKNOWN,0,0,"18",12
21,LINEAR_MOVE,38656,275,"",0300971301
22,UNKNOWN,0,0,"0",00
23,UNKNOWN,0,0,"0",00
24,UNKNOWN,0,0,"0",00
25,POINT,0,38,"",61002600
26,POINT,0,38,"",61002600
27,POINT,0,39,"",61002700
28,POINT,0,38,"",61002600
29,POINT,0,39,"",61002700
30,POINT,0,38,"",61002600
31,POINT,0,39,"",61002700
32,POINT,0,38,"",61002600
33,POINT,0,39,"",61002700
34,POINT,0,38,"",61002600
35,POINT,0,39,"",61002700
36,POINT,0,38,"",61002600
37,POINT,0,39,"",61002700
38,POINT,0,43008,"",610000a8
39,POINT,0,43008,"",610000a8
40,POINT,0,43008,"",610000a8
41,POINT,0,43008,"",610000a8
42,POINT,0,43008,"",610000a8
43,POINT,0,43008,"",610000a8
44,POINT,0,43008,"",610000a8
45,POINT,0,43008,"",610000a8
46,POINT,0,43008,"",610000a8
47,POINT,0,43008,"",610000a8
48,POINT,0,166,"",6100a600
49,POINT,0,166,"",6100a600
50,POINT,0,167,"",6100a700
51,POINT,0,166,"",6100a600
52,POINT,0,167,"",6100a700
53,POINT,0,166,"",6100a600
54,POINT,0,167,"",6100a700
55,POINT,0,166,"",6100a600
56,POINT,0,167,"",6100a700
57,POINT,0,166,"",6100a600
58,POINT,0,167,"",6100a700
59,POINT,0,166,"",6100a600
60,POINT,0,167,"",6100a700
61,CIRCULAR,0,10240,"",e1000028
62,CIRCULAR,0,10240,"",e1000028
63,CIRCULAR,0,10240,"",e1000028
64,CIRCULAR,0,10240,"",e1000028
65,CIRCULAR,0,10240,"",e1000028
66,CIRCULAR,0,10240,"",e1000028
67,CIRCULAR,0,10240,"",e1000028
68,CIRCULAR,0,10240,"",e1000028
69,CIRCULAR,0,10240,"",e1000028
70,POINT,0,10240,"",61000028
71,CIRCULAR,0,39199,"",e1001f99
72,CIRCULAR,0,39199,"",e1001f99
73,CIRCULAR,0,39199,"",e1001f99
74,CIRCULAR,0,39200,"",e1002099
75,CIRCULAR,0,39199,"",e1001f99
76,CIRCULAR,0,39199,"",e1001f99
77,CIRCULAR,0,39199,"",e1001f99
78,CIRCULAR,0,39200,"",e1002099
