Command,Type,X,Y,Parameters,Raw_Hex
1,CURVE,0,0,"0,8,160",830008a0
2,CURVE,0,0,"0,8,160",830008a0
3,LINEAR_MOVE,2048,33184,"",030008a081
4,UNKNOWN,0,0,"0",00
5,UNKNOWN,0,0,"0",00
6,UNKNOWN,0,0,"0",00
7,UNKNOWN,0,0,"161",a1
8,UNKNOWN,0,0,"0",00
9,UNKNOWN,0,0,"25",19
10,UNKNOWN,0,0,"0",00
11,UNKNOWN,0,0,"161",a1
12,UNKNOWN,0,0,"0",00
13,UNKNOWN,0,0,"26",1a
14,UNKNOWN,0,0,"129",81
15,UNKNOWN,0,0,"33",21
16,UNKNOWN,0,0,"0",00
17,UNKNOWN,0,0,"26",1a
18,UNKNOWN,0,0,"129",81
19,CIRCULAR,0,153,"",e1009900
20,CIRCULAR,0,153,"",e1009900
21,CIRCULAR,0,153,"",e1009900
22,CIRCULAR,0,409,"",e1009901
23,CIRCULAR,0,153,"",e1009900
24,CIRCULAR,0,153,"",e1009900
25,CIRCULAR,0,153,"",e1009900
26,POINT,0,410,"",61009a01
27,CIRCULAR,0,6144,"",e1000018
28,CIRCULAR,0,6400,"",e1000019
29,CIRCULAR,0,6144,"",e1000018
30,CIRCULAR,0,6400,"",e1000019
31,CIRCULAR,0,6400,"",e1000019
32,CIRCULAR,0,6144,"",e1000018
33,CIRCULAR,0,6400,"",e1000019
34,POINT,0,6401,"",61000119
35,CIRCULAR,0,37394,"",e1001292
36,CIRCULAR,0,37394,"",e1001292
37,CIRCULAR,0,37394,"",e1001292
38,CIRCULAR,0,37394,"",e1001292
39,CIRCULAR,0,37394,"",e1001292
40,CIRCULAR,0,37650,"",e1001293
41,CIRCULAR,0,37394,"",e1001292
42,CIRCULAR,0,37394,"",e1001292
43,CIRCULAR,0,37394,"",e1001292
44,CIRCULAR,0,37394,"",e1001292
45,POINT,0,37651,"",61001393
46,CIRCULAR,0,6400,"",e1000019
47,CIRCULAR,0,6400,"",e1000019
48,CIRCULAR,0,6400,"",e1000019
49,CIRCULAR,0,6400,"",e1000019
50,CIRCULAR,0,6400,"",e1000019
51,CIRCULAR,0,6400,"",e1000019
52,CIRCULAR,0,6400,"",e1000019
53,POINT,0,6656,"",6100001a
54,CIRCULAR,0,37521,"",e1009192
55,CIRCULAR,0,37521,"",e1009192
56,CIRCULAR,0,37522,"",e1009292
57,CIRCULAR,0,37521,"",e1009192
58,CIRCULAR,0,37521,"",e1009192
59,CIRCULAR,0,37778,"",e1009293
60,CIRCULAR,0,37521,"",e1009192
61,CIRCULAR,0,37521,"",e1009192
62,CIRCULAR,0,37522,"",e1009292
63,CIRCULAR,0,37521,"",e1009192
64,POINT,0,37778,"",61009293
65,CIRCULAR,0,6144,"",e1000018
66,CIRCULAR,0,6400,"",e1000019
67,CIRCULAR,0,6400,"",e1000019
68,CIRCULAR,0,6529,"",e1008119
69,CIRCULAR,0,6400,"",e1000019
70,CIRCULAR,0,6400,"",e1000019
71,CIRCULAR,0,6400,"",e1000019
72,POINT,0,6529,"",61008119
73,CIRCULAR,0,26,"",e1001a00
74,CIRCULAR,0,26,"",e1001a00
75,CIRCULAR,0,26,"",e1001a00
76,CIRCULAR,0,27,"",e1001b00
77,CIRCULAR,0,26,"",e1001a00
78,CIRCULAR,0,26,"",e1001a00
79,POINT,0,27,"",61001b00
80,CIRCULAR,0,38912,"",e1000098
81,CIRCULAR,0,39169,"",e1000199
82,CIRCULAR,0,39168,"",e1000099
83,CIRCULAR,0,39169,"",e1000199
84,CIRCULAR,0,39168,"",e1000099
85,CIRCULAR,0,39169,"",e1000199
86,CIRCULAR,0,39168,"",e1000099
87,POINT,0,39169,"",61000199
88,ARC,0,0,"0,0,0",82000000
89,CURVE,0,0,"0,147,19",83009313
90,CURVE,0,0,"0,147,20",83009314
91,CURVE,0,0,"0,147,19",83009313
92,CURVE,0,0,"0,147,20",83009314
93,LINEAR_MOVE,37632,7956,"",030093141f
94,UNKNOWN,0,0,"0",00
95,UNKNOWN,0,0,"0",00
96,UNKNOWN,0,0,"0",00
