Command,Type,X,Y,Parameters,Raw_Hex
1,LINEAR_MOVE,5746,917,"",0372169503
2,UNKNOWN,0,0,"0",00
3,UNKNOWN,0,0,"22",16
4,UNKNOWN,0,0,"149",95
5,LINEAR_MOVE,5888,918,"",0300179603
6,UNKNOWN,0,0,"0",00
7,UNKNOWN,0,0,"22",16
8,UNKNOWN,0,0,"149",95
9,LINEAR_MOVE,5888,918,"",0300179603
10,UNKNOWN,0,0,"0",00
11,UNKNOWN,0,0,"22",16
12,UNKNOWN,0,0,"149",95
13,LINEAR_MOVE,5888,918,"",0300179603
14,UNKNOWN,0,0,"0",00
15,UNKNOWN,0,0,"22",16
16,UNKNOWN,0,0,"149",95
17,LINEAR_MOVE,5888,406,"",0300179601
18,UNKNOWN,0,0,"0",00
19,UNKNOWN,0,0,"0",00
20,UNKNOWN,0,0,"0",00
21,SEPARATOR,0,0,"0,30,0",01001e00
22,SEPARATOR,0,0,"0,30,0",01001e00
23,SEPARATOR,0,0,"0,30,0",01001e00
24,SEPARATOR,0,0,"0,30,0",01001e00
25,POINT,0,158,"",61009e00
26,POINT,0,158,"",61009e00
27,POINT,0,158,"",61009e00
28,POINT,0,158,"",61009e00
29,POINT,0,158,"",61009e00
30,POINT,0,158,"",61009e00
31,POINT,0,158,"",61009e00
32,POINT,0,158,"",61009e00
33,POINT,0,158,"",61009e00
34,POINT,0,158,"",61009e00
35,POINT,0,158,"",61009e00
36,POINT,0,158,"",61009e00
37,POINT,0,158,"",61009e00
38,POINT,0,158,"",61009e00
39,POINT,0,158,"",61009e00
40,POINT,0,158,"",61009e00
41,POINT,0,158,"",61009e00
42,POINT,0,158,"",61009e00
43,POINT,0,158,"",61009e00
44,POINT,0,158,"",61009e00
45,POINT,0,540,"",61001c02
46,POINT,0,797,"",61001d03
47,POINT,0,796,"",61001c03
48,POINT,0,541,"",61001d02
49,POINT,0,796,"",61001c03
50,POINT,0,797,"",61001d03
51,POINT,0,540,"",61001c02
52,POINT,0,797,"",61001d03
53,POINT,0,797,"",61001d03
54,POINT,0,796,"",61001c03
55,POINT,0,541,"",61001d02
56,POINT,0,796,"",61001c03
57,POINT,0,797,"",61001d03
58,POINT,0,540,"",61001c02
59,POINT,0,797,"",61001d03
60,POINT,0,797,"",61001d03
61,POINT,0,796,"",61001c03
62,POINT,0,541,"",61001d02
63,POINT,0,796,"",61001c03
64,POINT,0,797,"",61001d03
65,POINT,0,797,"",61001d03
66,POINT,0,414,"",61009e01
67,POINT,0,414,"",61009e01
68,POINT,0,670,"",61009e02
69,POINT,0,414,"",61009e01
70,POINT,0,670,"",61009e02
71,POINT,0,414,"",61009e01
72,POINT,0,670,"",61009e02
73,POINT,0,414,"",61009e01
74,POINT,0,670,"",61009e02
75,POINT,0,414,"",61009e01
76,POINT,0,414,"",61009e01
77,POINT,0,670,"",61009e02
78,POINT,0,414,"",61009e01
79,POINT,0,670,"",61009e02
80,POINT,0,414,"",61009e01
81,POINT,0,670,"",61009e02
82,POINT,0,414,"",61009e01
83,POINT,0,670,"",61009e02
84,POINT,0,414,"",61009e01
85,POINT,0,670,"",61009e02
86,POINT,0,286,"",61001e01
87,POINT,0,286,"",61001e01
88,POINT,0,542,"",61001e02
89,POINT,0,286,"",61001e01
90,POINT,0,542,"",61001e02
91,POINT,0,286,"",61001e01
92,POINT,0,542,"",61001e02
93,POINT,0,286,"",61001e01
94,POINT,0,542,"",61001e02
95,POINT,0,286,"",61001e01
96,POINT,0,286,"",61001e01
97,POINT,0,542,"",61001e02
98,POINT,0,286,"",61001e01
99,POINT,0,542,"",61001e02
100,POINT,0,286,"",61001e01
101,POINT,0,542,"",61001e02
102,POINT,0,286,"",61001e01
103,POINT,0,542,"",61001e02
104,POINT,0,286,"",61001e01
105,POINT,0,542,"",61001e02
106,POINT,0,414,"",61009e01
107,POINT,0,414,"",61009e01
108,POINT,0,670,"",61009e02
109,POINT,0,414,"",61009e01
110,POINT,0,670,"",61009e02
111,POINT,0,414,"",61009e01
112,POINT,0,670,"",61009e02
113,POINT,0,414,"",61009e01
114,POINT,0,670,"",61009e02
115,POINT,0,414,"",61009e01
116,POINT,0,414,"",61009e01
117,POINT,0,670,"",61009e02
118,POINT,0,414,"",61009e01
119,POINT,0,670,"",61009e02
120,POINT,0,414,"",61009e01
121,POINT,0,670,"",61009e02
122,POINT,0,414,"",61009e01
123,POINT,0,670,"",61009e02
124,POINT,0,414,"",61009e01
125,POINT,0,670,"",61009e02
126,POINT,0,286,"",61001e01
